source,term_id,term_name,fdr,significant,intersection_size,query_size,term_size,background_size,genes,gene_symbols
GO:CC,GO:0110165,cellular anatomical structure,5.554819910146936e-17,True,95,111,1630,3629,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000080854 ENSG00000110497 ENSG00000166793 ENSG00000245532 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000133687 ENSG00000161813 ENSG00000135454 ENSG00000111669 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000242498 ENSG00000185518 ENSG00000149927 ENSG00000153406 ENSG00000103042 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000181291 ENSG00000131096 ENSG00000166573 ENSG00000205517 ENSG00000178093 ENSG00000104885 ENSG00000186020 ENSG00000161652 ENSG00000023902 ENSG00000143614 ENSG00000162753 ENSG00000116852 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000162426 ENSG00000188641 ENSG00000053438 ENSG00000100354 ENSG00000100403 ENSG00000251322 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000115828 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000007402 ENSG00000055955 ENSG00000163635 ENSG00000198948 ENSG00000150630 ENSG00000133256 ENSG00000151422 ENSG00000078795 ENSG00000120725 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000184903 ENSG00000131558 ENSG00000002822 ENSG00000070882 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000168077 ENSG00000147535 ENSG00000104442 ENSG00000173273 ENSG00000167157 ENSG00000130635,SORCS3 KLF6 SNX19 IGSF9B AMBRA1 YPEL4 NEAT1 CHST11 HVCN1 ANAPC5 TCTN2 TMTC1 LARP4 B4GALNT1 TPI1 SERP2 KIF26A RGS6 FRMD5 CCNB2 CTSH BNC1 PDE8A ARPIN SV2B DOC2A NMRAL1 SLC38A7 SMPD3 MC1R HIC1 TMEM132E PYY GALR1 RGL3 TSSK6 DOT1L ZNF529 IZUMO2 PLEKHO1 GATAD2B SLC9C2 KIF21B EPB41 STK40 SLC6A9 SLC45A1 DPYD NNAT TNRC6B ZC3H7B SHANK3 PLCL1 BZW1 BABAM2 QPCT STAMBP ZAP70 MSL2 PLCL2 CACNA2D2 ITIH4 ATXN7 MFAP3L VEGFC PDE6B FER PKD2L2 SIL1 HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 ADGRB3 KMT2E IMMP2L EXOC4 MAD1L1 OSBPL3 RIMS2 RHPN1 ARHGAP39 ADRA1A SCARA3 PLPP5 ARMC1 TNKS PRRX2 COL5A1
GO:CC,GO:0005575,cellular_component,5.554819910146936e-17,True,95,111,1638,3629,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000080854 ENSG00000110497 ENSG00000166793 ENSG00000245532 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000133687 ENSG00000161813 ENSG00000135454 ENSG00000111669 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000242498 ENSG00000185518 ENSG00000149927 ENSG00000153406 ENSG00000103042 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000181291 ENSG00000131096 ENSG00000166573 ENSG00000205517 ENSG00000178093 ENSG00000104885 ENSG00000186020 ENSG00000161652 ENSG00000023902 ENSG00000143614 ENSG00000162753 ENSG00000116852 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000162426 ENSG00000188641 ENSG00000053438 ENSG00000100354 ENSG00000100403 ENSG00000251322 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000115828 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000007402 ENSG00000055955 ENSG00000163635 ENSG00000198948 ENSG00000150630 ENSG00000133256 ENSG00000151422 ENSG00000078795 ENSG00000120725 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000184903 ENSG00000131558 ENSG00000002822 ENSG00000070882 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000168077 ENSG00000147535 ENSG00000104442 ENSG00000173273 ENSG00000167157 ENSG00000130635,SORCS3 KLF6 SNX19 IGSF9B AMBRA1 YPEL4 NEAT1 CHST11 HVCN1 ANAPC5 TCTN2 TMTC1 LARP4 B4GALNT1 TPI1 SERP2 KIF26A RGS6 FRMD5 CCNB2 CTSH BNC1 PDE8A ARPIN SV2B DOC2A NMRAL1 SLC38A7 SMPD3 MC1R HIC1 TMEM132E PYY GALR1 RGL3 TSSK6 DOT1L ZNF529 IZUMO2 PLEKHO1 GATAD2B SLC9C2 KIF21B EPB41 STK40 SLC6A9 SLC45A1 DPYD NNAT TNRC6B ZC3H7B SHANK3 PLCL1 BZW1 BABAM2 QPCT STAMBP ZAP70 MSL2 PLCL2 CACNA2D2 ITIH4 ATXN7 MFAP3L VEGFC PDE6B FER PKD2L2 SIL1 HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 ADGRB3 KMT2E IMMP2L EXOC4 MAD1L1 OSBPL3 RIMS2 RHPN1 ARHGAP39 ADRA1A SCARA3 PLPP5 ARMC1 TNKS PRRX2 COL5A1
GO:MF,GO:0003674,molecular_function,7.730477251885942e-17,True,94,111,1587,3629,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000080854 ENSG00000110497 ENSG00000166793 ENSG00000245532 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000111011 ENSG00000133687 ENSG00000161813 ENSG00000135454 ENSG00000111669 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000166133 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000242498 ENSG00000185518 ENSG00000149927 ENSG00000153406 ENSG00000103042 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000131096 ENSG00000166573 ENSG00000205517 ENSG00000178093 ENSG00000104885 ENSG00000186020 ENSG00000023902 ENSG00000143614 ENSG00000162753 ENSG00000116852 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000162426 ENSG00000188641 ENSG00000100354 ENSG00000100403 ENSG00000251322 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000115828 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000168016 ENSG00000007402 ENSG00000055955 ENSG00000163635 ENSG00000198948 ENSG00000150630 ENSG00000133256 ENSG00000151422 ENSG00000078795 ENSG00000120725 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000184903 ENSG00000131558 ENSG00000002822 ENSG00000070882 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000168077 ENSG00000147535 ENSG00000104442 ENSG00000173273 ENSG00000167157 ENSG00000130635,SORCS3 KLF6 SNX19 IGSF9B AMBRA1 YPEL4 NEAT1 CHST11 HVCN1 ANAPC5 RSRC2 TMTC1 LARP4 B4GALNT1 TPI1 SERP2 KIF26A RGS6 RPUSD2 FRMD5 CCNB2 CTSH BNC1 PDE8A ARPIN SV2B DOC2A NMRAL1 SLC38A7 SMPD3 MC1R HIC1 PYY GALR1 RGL3 TSSK6 DOT1L ZNF529 PLEKHO1 GATAD2B SLC9C2 KIF21B EPB41 STK40 SLC6A9 SLC45A1 DPYD TNRC6B ZC3H7B SHANK3 PLCL1 BZW1 BABAM2 QPCT STAMBP ZAP70 MSL2 PLCL2 TRANK1 CACNA2D2 ITIH4 ATXN7 MFAP3L VEGFC PDE6B FER PKD2L2 SIL1 HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 ADGRB3 KMT2E IMMP2L EXOC4 MAD1L1 OSBPL3 RIMS2 RHPN1 ARHGAP39 ADRA1A SCARA3 PLPP5 ARMC1 TNKS PRRX2 COL5A1
GO:BP,GO:0008150,biological_process,5.097637120043232e-16,True,92,111,1526,3629,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000080854 ENSG00000110497 ENSG00000245532 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000133687 ENSG00000161813 ENSG00000135454 ENSG00000111669 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000166133 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000242498 ENSG00000185518 ENSG00000149927 ENSG00000103042 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000181291 ENSG00000131096 ENSG00000166573 ENSG00000205517 ENSG00000178093 ENSG00000104885 ENSG00000186020 ENSG00000023902 ENSG00000143614 ENSG00000162753 ENSG00000116852 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000162426 ENSG00000188641 ENSG00000053438 ENSG00000100354 ENSG00000100403 ENSG00000251322 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000115828 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000007402 ENSG00000055955 ENSG00000163635 ENSG00000150630 ENSG00000133256 ENSG00000151422 ENSG00000078795 ENSG00000120725 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000184903 ENSG00000131558 ENSG00000002822 ENSG00000070882 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000168077 ENSG00000147535 ENSG00000104442 ENSG00000173273 ENSG00000167157 ENSG00000130635,SORCS3 KLF6 SNX19 IGSF9B AMBRA1 NEAT1 CHST11 HVCN1 ANAPC5 TCTN2 TMTC1 LARP4 B4GALNT1 TPI1 SERP2 KIF26A RGS6 RPUSD2 FRMD5 CCNB2 CTSH BNC1 PDE8A ARPIN SV2B DOC2A SLC38A7 SMPD3 MC1R HIC1 TMEM132E PYY GALR1 RGL3 TSSK6 DOT1L ZNF529 PLEKHO1 GATAD2B SLC9C2 KIF21B EPB41 STK40 SLC6A9 SLC45A1 DPYD NNAT TNRC6B ZC3H7B SHANK3 PLCL1 BZW1 BABAM2 QPCT STAMBP ZAP70 MSL2 PLCL2 CACNA2D2 ITIH4 ATXN7 VEGFC PDE6B FER PKD2L2 SIL1 HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 ADGRB3 KMT2E IMMP2L EXOC4 MAD1L1 OSBPL3 RIMS2 RHPN1 ARHGAP39 ADRA1A SCARA3 PLPP5 ARMC1 TNKS PRRX2 COL5A1
GO:BP,GO:0009987,cellular process,5.097637120043232e-16,True,91,111,1496,3629,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000080854 ENSG00000110497 ENSG00000245532 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000133687 ENSG00000161813 ENSG00000135454 ENSG00000111669 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000166133 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000242498 ENSG00000185518 ENSG00000149927 ENSG00000103042 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000181291 ENSG00000131096 ENSG00000166573 ENSG00000205517 ENSG00000178093 ENSG00000104885 ENSG00000186020 ENSG00000023902 ENSG00000143614 ENSG00000162753 ENSG00000116852 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000162426 ENSG00000188641 ENSG00000053438 ENSG00000100354 ENSG00000100403 ENSG00000251322 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000115828 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000007402 ENSG00000055955 ENSG00000163635 ENSG00000150630 ENSG00000133256 ENSG00000151422 ENSG00000078795 ENSG00000120725 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000184903 ENSG00000131558 ENSG00000002822 ENSG00000070882 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000168077 ENSG00000147535 ENSG00000173273 ENSG00000167157 ENSG00000130635,SORCS3 KLF6 SNX19 IGSF9B AMBRA1 NEAT1 CHST11 HVCN1 ANAPC5 TCTN2 TMTC1 LARP4 B4GALNT1 TPI1 SERP2 KIF26A RGS6 RPUSD2 FRMD5 CCNB2 CTSH BNC1 PDE8A ARPIN SV2B DOC2A SLC38A7 SMPD3 MC1R HIC1 TMEM132E PYY GALR1 RGL3 TSSK6 DOT1L ZNF529 PLEKHO1 GATAD2B SLC9C2 KIF21B EPB41 STK40 SLC6A9 SLC45A1 DPYD NNAT TNRC6B ZC3H7B SHANK3 PLCL1 BZW1 BABAM2 QPCT STAMBP ZAP70 MSL2 PLCL2 CACNA2D2 ITIH4 ATXN7 VEGFC PDE6B FER PKD2L2 SIL1 HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 ADGRB3 KMT2E IMMP2L EXOC4 MAD1L1 OSBPL3 RIMS2 RHPN1 ARHGAP39 ADRA1A SCARA3 PLPP5 TNKS PRRX2 COL5A1
GO:MF,GO:0005488,binding,4.200008625743351e-15,True,89,111,1495,3629,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000080854 ENSG00000110497 ENSG00000166793 ENSG00000245532 ENSG00000122986 ENSG00000089053 ENSG00000111011 ENSG00000133687 ENSG00000161813 ENSG00000111669 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000166133 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000242498 ENSG00000185518 ENSG00000149927 ENSG00000153406 ENSG00000103042 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000131096 ENSG00000166573 ENSG00000205517 ENSG00000178093 ENSG00000104885 ENSG00000186020 ENSG00000023902 ENSG00000143614 ENSG00000116852 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000188641 ENSG00000100354 ENSG00000100403 ENSG00000251322 ENSG00000082153 ENSG00000158019 ENSG00000115828 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000168016 ENSG00000007402 ENSG00000055955 ENSG00000163635 ENSG00000198948 ENSG00000150630 ENSG00000133256 ENSG00000151422 ENSG00000078795 ENSG00000120725 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000184903 ENSG00000131558 ENSG00000002822 ENSG00000070882 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000168077 ENSG00000147535 ENSG00000104442 ENSG00000173273 ENSG00000167157 ENSG00000130635,SORCS3 KLF6 SNX19 IGSF9B AMBRA1 YPEL4 NEAT1 HVCN1 ANAPC5 RSRC2 TMTC1 LARP4 TPI1 SERP2 KIF26A RGS6 RPUSD2 FRMD5 CCNB2 CTSH BNC1 PDE8A ARPIN SV2B DOC2A NMRAL1 SLC38A7 SMPD3 MC1R HIC1 PYY GALR1 RGL3 TSSK6 DOT1L ZNF529 PLEKHO1 GATAD2B KIF21B EPB41 STK40 SLC6A9 DPYD TNRC6B ZC3H7B SHANK3 BZW1 BABAM2 QPCT STAMBP ZAP70 MSL2 PLCL2 TRANK1 CACNA2D2 ITIH4 ATXN7 MFAP3L VEGFC PDE6B FER PKD2L2 SIL1 HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 ADGRB3 KMT2E IMMP2L EXOC4 MAD1L1 OSBPL3 RIMS2 RHPN1 ARHGAP39 ADRA1A SCARA3 PLPP5 ARMC1 TNKS PRRX2 COL5A1
GO:CC,GO:0005737,cytoplasm,2.9434929873851594e-13,True,72,111,1057,3629,ENSG00000067082 ENSG00000120451 ENSG00000110497 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000133687 ENSG00000161813 ENSG00000135454 ENSG00000111669 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000185518 ENSG00000149927 ENSG00000153406 ENSG00000103042 ENSG00000103056 ENSG00000258839 ENSG00000205517 ENSG00000178093 ENSG00000104885 ENSG00000023902 ENSG00000116852 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000188641 ENSG00000053438 ENSG00000100354 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000115828 ENSG00000124356 ENSG00000115085 ENSG00000154822 ENSG00000055955 ENSG00000163635 ENSG00000198948 ENSG00000150630 ENSG00000151422 ENSG00000120725 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000005483 ENSG00000184903 ENSG00000131558 ENSG00000002822 ENSG00000070882 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000168077 ENSG00000147535 ENSG00000104442 ENSG00000173273 ENSG00000130635,KLF6 SNX19 AMBRA1 CHST11 HVCN1 ANAPC5 TCTN2 TMTC1 LARP4 B4GALNT1 TPI1 SERP2 KIF26A RGS6 CCNB2 CTSH BNC1 PDE8A SV2B DOC2A NMRAL1 SLC38A7 SMPD3 MC1R RGL3 TSSK6 DOT1L PLEKHO1 KIF21B EPB41 STK40 SLC6A9 DPYD NNAT TNRC6B PLCL1 BZW1 BABAM2 QPCT STAMBP ZAP70 PLCL2 ITIH4 ATXN7 MFAP3L VEGFC FER SIL1 HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 KMT2E IMMP2L EXOC4 MAD1L1 OSBPL3 RIMS2 RHPN1 ARHGAP39 ADRA1A SCARA3 PLPP5 ARMC1 TNKS COL5A1
GO:BP,GO:0065007,biological regulation,2.209168146254461e-12,True,72,111,1060,3629,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000110497 ENSG00000245532 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000161813 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000242498 ENSG00000185518 ENSG00000149927 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000131096 ENSG00000166573 ENSG00000205517 ENSG00000104885 ENSG00000186020 ENSG00000023902 ENSG00000143614 ENSG00000162753 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000053438 ENSG00000100354 ENSG00000100403 ENSG00000251322 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000007402 ENSG00000163635 ENSG00000150630 ENSG00000133256 ENSG00000151422 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000131558 ENSG00000002822 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000173273 ENSG00000167157 ENSG00000130635,SORCS3 KLF6 SNX19 AMBRA1 NEAT1 CHST11 HVCN1 ANAPC5 TCTN2 LARP4 SERP2 KIF26A RGS6 FRMD5 CCNB2 CTSH BNC1 PDE8A ARPIN SV2B DOC2A SMPD3 MC1R HIC1 PYY GALR1 RGL3 DOT1L ZNF529 PLEKHO1 GATAD2B SLC9C2 EPB41 STK40 SLC6A9 NNAT TNRC6B ZC3H7B SHANK3 PLCL1 BZW1 BABAM2 STAMBP ZAP70 MSL2 PLCL2 CACNA2D2 ATXN7 VEGFC PDE6B FER HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 ADGRB3 KMT2E EXOC4 MAD1L1 RIMS2 RHPN1 ARHGAP39 ADRA1A TNKS PRRX2 COL5A1
GO:CC,GO:0005622,intracellular anatomical structure,4.494439709472193e-12,True,81,111,1388,3629,ENSG00000067082 ENSG00000120451 ENSG00000110497 ENSG00000166793 ENSG00000245532 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000133687 ENSG00000161813 ENSG00000135454 ENSG00000111669 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000185518 ENSG00000149927 ENSG00000153406 ENSG00000103042 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000205517 ENSG00000178093 ENSG00000104885 ENSG00000186020 ENSG00000023902 ENSG00000143614 ENSG00000116852 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000188641 ENSG00000053438 ENSG00000100354 ENSG00000100403 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000115828 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000055955 ENSG00000163635 ENSG00000198948 ENSG00000150630 ENSG00000151422 ENSG00000120725 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000005483 ENSG00000184903 ENSG00000131558 ENSG00000002822 ENSG00000070882 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000168077 ENSG00000147535 ENSG00000104442 ENSG00000173273 ENSG00000167157 ENSG00000130635,KLF6 SNX19 AMBRA1 YPEL4 NEAT1 CHST11 HVCN1 ANAPC5 TCTN2 TMTC1 LARP4 B4GALNT1 TPI1 SERP2 KIF26A RGS6 FRMD5 CCNB2 CTSH BNC1 PDE8A SV2B DOC2A NMRAL1 SLC38A7 SMPD3 MC1R HIC1 RGL3 TSSK6 DOT1L ZNF529 PLEKHO1 GATAD2B KIF21B EPB41 STK40 SLC6A9 DPYD NNAT TNRC6B ZC3H7B PLCL1 BZW1 BABAM2 QPCT STAMBP ZAP70 MSL2 PLCL2 ITIH4 ATXN7 MFAP3L VEGFC FER SIL1 HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 VARS2 GPSM3 RXRB CUL9 KMT2E IMMP2L EXOC4 MAD1L1 OSBPL3 RIMS2 RHPN1 ARHGAP39 ADRA1A SCARA3 PLPP5 ARMC1 TNKS PRRX2 COL5A1
GO:BP,GO:0050789,regulation of biological process,5.230419998002322e-12,True,70,111,1025,3629,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000110497 ENSG00000245532 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000161813 ENSG00000151778 ENSG00000066735 ENSG00000182732 ENSG00000171877 ENSG00000157456 ENSG00000103811 ENSG00000169594 ENSG00000073417 ENSG00000242498 ENSG00000185518 ENSG00000149927 ENSG00000103056 ENSG00000258839 ENSG00000177374 ENSG00000131096 ENSG00000166573 ENSG00000205517 ENSG00000104885 ENSG00000186020 ENSG00000023902 ENSG00000143614 ENSG00000159023 ENSG00000196182 ENSG00000196517 ENSG00000053438 ENSG00000100354 ENSG00000100403 ENSG00000251322 ENSG00000115896 ENSG00000082153 ENSG00000158019 ENSG00000124356 ENSG00000115085 ENSG00000174579 ENSG00000154822 ENSG00000007402 ENSG00000163635 ENSG00000150630 ENSG00000133256 ENSG00000151422 ENSG00000113070 ENSG00000155511 ENSG00000113448 ENSG00000010810 ENSG00000079691 ENSG00000232040 ENSG00000213654 ENSG00000204231 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000131558 ENSG00000002822 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000120907 ENSG00000173273 ENSG00000167157 ENSG00000130635,SORCS3 KLF6 SNX19 AMBRA1 NEAT1 CHST11 HVCN1 ANAPC5 TCTN2 LARP4 SERP2 KIF26A RGS6 FRMD5 CCNB2 CTSH BNC1 PDE8A ARPIN SV2B DOC2A SMPD3 MC1R HIC1 PYY GALR1 RGL3 DOT1L ZNF529 PLEKHO1 GATAD2B EPB41 STK40 SLC6A9 NNAT TNRC6B ZC3H7B SHANK3 PLCL1 BZW1 BABAM2 STAMBP ZAP70 MSL2 PLCL2 CACNA2D2 ATXN7 VEGFC PDE6B FER HBEGF GRIA1 PDE4D FYN CARMIL1 SCAND3 GPSM3 RXRB CUL9 ADGRB3 KMT2E EXOC4 MAD1L1 RIMS2 RHPN1 ARHGAP39 ADRA1A TNKS PRRX2 COL5A1
